id,nombre,descripcion,grupo,geomt,color,categoria,imagen,descripcion_upper,nombre_upper,num_articulo
81,Sentido obligatorio,Indica a los conductores de vehículos el sentido que deben seguir obligatoriamente en el punto donde está situada la señal; puede indicar dos sentidos.,4,3,4,1,sentido_obligatorio.png,INDICA A LOS CONDUCTORES DE VEHICULOS EL SENTIDO QUE DEBEN SEGUIR OBLIGATORIAMENTE EN EL PUNTO DONDE ESTA SITUADA LA SENAL; PUEDE INDICAR DOS SENTIDOS.,SENTIDO OBLIGATORIO,166
82,Vía obligatoria para peatones,"Indica que los peatones están obligados a utilizar la vía a que se refiere la señal y que ningún vehículo tiene derecho a usarla.
",4,3,4,1,via_obligatoria_para_peatones.png,"INDICA QUE LOS PEATONES ESTAN OBLIGADOS A UTILIZAR LA VIA A QUE SE REFIERE LA SENAL Y QUE NINGUN VEHICULO TIENE DERECHO A USARLA.
",VIA OBLIGATORIA PARA PEATONES,166
84,Paso obligatorio,Indica a los conductores de vehículos que deben pasar obligatoriamente por el lado del obstáculo que señala la flecha.,4,3,4,1,paso_obligatorio.png,INDICA A LOS CONDUCTORES DE VEHICULOS QUE DEBEN PASAR OBLIGATORIAMENTE POR EL LADO DEL OBSTACULO QUE SENALA LA FLECHA.,PASO OBLIGATORIO,166
86,Vía obligatoria para camiones,"Indica a los conductores de camiones de peso superior a 3 500 kilogramos que tienen la obligación de circular por la vía señalada.
",4,3,4,1,via_obligatoria_para_camiones.png,"INDICA A LOS CONDUCTORES DE CAMIONES DE PESO SUPERIOR A 3 500 KILOGRAMOS QUE TIENEN LA OBLIGACION DE CIRCULAR POR LA VIA SENALADA.
",VIA OBLIGATORIA PARA CAMIONES,166
88,Sentido giratorio,Indica que la circulación giratoria es obligatoria en el sentido que señala la flecha de acuerdo con las normas que rigen.,4,3,4,1,sentido_giratorio.png,INDICA QUE LA CIRCULACION GIRATORIA ES OBLIGATORIA EN EL SENTIDO QUE SENALA LA FLECHA DE ACUERDO CON LAS NORMAS QUE RIGEN.,SENTIDO GIRATORIO,166
91,Velocidad mínima obligatoria,"Indica que los vehículos que circulan por la vía donde está colocada la señal no pueden circular a una velocidad menor que la que está indicada.
",4,3,4,1,velocidad_minima_obligatoria_30.png,"INDICA QUE LOS VEHICULOS QUE CIRCULAN POR LA VIA DONDE ESTA COLOCADA LA SENAL NO PUEDEN CIRCULAR A UNA VELOCIDAD MENOR QUE LA QUE ESTA INDICADA.
",VELOCIDAD MINIMA OBLIGATORIA,166
98,Vía obligatoria para las motocicletas de dos ruedas y ciclomotores,Indica que los vehículos de esta clase tienen la obligación de circular por la vía señalada.,4,3,4,1,via_obligatoria_para_motocicletas.png,INDICA QUE LOS VEHICULOS DE ESTA CLASE TIENEN LA OBLIGACION DE CIRCULAR POR LA VIA SENALADA.,VIA OBLIGATORIA PARA LAS MOTOCICLETAS DE DOS RUEDAS Y CICLOMOTORES,166
99,Vía obligatoria para ciclistas,"Indica que los ciclistas están obligados a utilizar esa vía o la parte de la vía a que se refiere la flecha si la tuviese, y que los conductores de los demás vehículos no tienen derecho a usarla.
",4,3,4,1,via_obligatoria_para_ciclistas.png,"INDICA QUE LOS CICLISTAS ESTAN OBLIGADOS A UTILIZAR ESA VIA O LA PARTE DE LA VIA A QUE SE REFIERE LA FLECHA SI LA TUVIESE, Y QUE LOS CONDUCTORES DE LOS DEMAS VEHICULOS NO TIENEN DERECHO A USARLA.
",VIA OBLIGATORIA PARA CICLISTAS,166
100,Vía obligatoria para automóviles,"Indica a los conductores de automóviles, excepto las motocicletas de dos ruedas y ciclomotores, que tienen la obligación de circular por la vía señalada.
",4,3,4,1,via_obligatoria_para_automoviles.png,"INDICA A LOS CONDUCTORES DE AUTOMOVILES, EXCEPTO LAS MOTOCICLETAS DE DOS RUEDAS Y CICLOMOTORES, QUE TIENEN LA OBLIGACION DE CIRCULAR POR LA VIA SENALADA.
",VIA OBLIGATORIA PARA AUTOMOVILES,166
101,Vía obligatoria para vehículos de tracción animal,Indica que los vehículos de tracción animal tienen la obligación de circular por la vía señalada.,4,3,4,1,via_obligatoria_para_vehiculos_de_traccion_animal.png,INDICA QUE LOS VEHICULOS DE TRACCION ANIMAL TIENEN LA OBLIGACION DE CIRCULAR POR LA VIA SENALADA.,VIA OBLIGATORIA PARA VEHICULOS DE TRACCION ANIMAL,166
